date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:49:48	83797/83797	---M-Z	200	added ('OK')	text/html	etag:%2214755-5da788fd85c1e-gzip%22	https://www.designesia.com/themes/exhibiz/index.html	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/index.html	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:49	4615/4615	---M--	200	added ('OK')	image/png	etag:%221207-5af96fda718b2%22	https://www.designesia.com/themes/exhibiz/images-event/logo.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:51	348351/348351	---M--	200	added ('OK')	image/jpeg	etag:%22550bf-5af9725616732%22	https://www.designesia.com/themes/exhibiz/images-event/misc/2.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/misc/2.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:53	209412/209412	---M--	200	added ('OK')	image/jpeg	etag:%2233204-5af97254dfe7f%22	https://www.designesia.com/themes/exhibiz/images-event/misc/1.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/misc/1.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:53	320755/320755	---M--	200	added ('OK')	image/jpeg	etag:%224e4f3-5af970c2ab25a%22	https://www.designesia.com/themes/exhibiz/images-event/misc/3.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/misc/3.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:54	61462/61462	---M--	200	added ('OK')	image/jpeg	etag:%22f016-5af9712ad0fb9%22	https://www.designesia.com/themes/exhibiz/images-event/team/2.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/2.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:54	80341/80341	---M--	200	added ('OK')	image/jpeg	etag:%22139d5-5af9712ac449a%22	https://www.designesia.com/themes/exhibiz/images-event/team/1.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/1.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:55	113747/113747	---M--	200	added ('OK')	image/jpeg	etag:%221bc53-5af9712c4dd69%22	https://www.designesia.com/themes/exhibiz/images-event/team/3.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/3.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:57	94115/94115	---M--	200	added ('OK')	image/jpeg	etag:%2216fa3-5af9712c402aa%22	https://www.designesia.com/themes/exhibiz/images-event/team/4.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/4.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:57	79969/79969	---M--	200	added ('OK')	image/jpeg	etag:%2213861-5af9712e2e4d5%22	https://www.designesia.com/themes/exhibiz/images-event/team/5.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/5.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:58	64439/64439	---M--	200	added ('OK')	image/jpeg	etag:%22fbb7-5af9712df79d7%22	https://www.designesia.com/themes/exhibiz/images-event/team/6.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/6.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:49:59	58271/58271	---M--	200	added ('OK')	image/jpeg	etag:%22e39f-5af9712f2c34a%22	https://www.designesia.com/themes/exhibiz/images-event/team/7.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/team/7.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:00	14466/14466	---M--	200	added ('OK')	image/png	etag:%223882-5af970434d06b%22	https://www.designesia.com/themes/exhibiz/images-event/logo/1.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/1.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:01	4750/4750	---M--	200	added ('OK')	image/png	etag:%22128e-5af970437ce09%22	https://www.designesia.com/themes/exhibiz/images-event/logo/2.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/2.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:02	5079/5079	---M--	200	added ('OK')	image/png	etag:%2213d7-5af970445b880%22	https://www.designesia.com/themes/exhibiz/images-event/logo/3.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/3.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:03	4919/4919	---M--	200	added ('OK')	image/png	etag:%221337-5af97045eddf0%22	https://www.designesia.com/themes/exhibiz/images-event/logo/4.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/4.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:04	8280/8280	---M--	200	added ('OK')	image/png	etag:%222058-5af97046d1687%22	https://www.designesia.com/themes/exhibiz/images-event/logo/5.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/5.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:05	10244/10244	---M--	200	added ('OK')	image/png	etag:%222804-5af97046e3f66%22	https://www.designesia.com/themes/exhibiz/images-event/logo/6.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/6.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:06	8563/8563	---M--	200	added ('OK')	image/png	etag:%222173-5af9704a42423%22	https://www.designesia.com/themes/exhibiz/images-event/logo/7.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/7.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:07	6902/6902	---M--	200	added ('OK')	image/png	etag:%221af6-5af97049bb7e8%22	https://www.designesia.com/themes/exhibiz/images-event/logo/8.png	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/logo/8.png	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:08	34892/34892	---M--	200	added ('OK')	image/jpeg	etag:%22884c-5af972574a105%22	https://www.designesia.com/themes/exhibiz/images-event/portfolio/1.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/portfolio/1.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:10	370087/370087	---M--	200	added ('OK')	image/jpeg	etag:%225a5a7-5af9710c42cc8%22	https://www.designesia.com/themes/exhibiz/images-event/portfolio/2.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/portfolio/2.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:11	33253/33253	---M--	200	added ('OK')	image/jpeg	etag:%2281e5-5af97115281e7%22	https://www.designesia.com/themes/exhibiz/images-event/portfolio/3.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/portfolio/3.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:11	62445/62445	---M--	200	added ('OK')	image/jpeg	etag:%22f3ed-5af97115ca3a0%22	https://www.designesia.com/themes/exhibiz/images-event/portfolio/4.jpg	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/images-event/portfolio/4.jpg	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:13	84320/84320	---M--	200	added ('OK')	application/javascript	etag:%2214960-5b5f7f47f0862%22	https://www.designesia.com/themes/exhibiz/js/jquery.min.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/jquery.min.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:13	5852/5852	---M--	200	added ('OK')	application/javascript	etag:%2216dc-5b5f7f42b4b17%22	https://www.designesia.com/themes/exhibiz/js/jpreLoader.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/jpreLoader.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:15	60010/60010	---M--	200	added ('OK')	application/javascript	etag:%22ea6a-5b5f7f3de34e8%22	https://www.designesia.com/themes/exhibiz/js/bootstrap.min.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/bootstrap.min.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:15	35445/35445	---M--	200	added ('OK')	application/javascript	etag:%228a75-5b5f7f4695d90%22	https://www.designesia.com/themes/exhibiz/js/jquery.isotope.min.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/jquery.isotope.min.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:16	8101/8101	---M--	200	added ('OK')	application/javascript	etag:%221fa5-5b5f7f40803ee%22	https://www.designesia.com/themes/exhibiz/js/easing.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/easing.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:17	21422/21422	---M--	200	added ('OK')	application/javascript	etag:%2253ae-5b5f7f459cd3a%22	https://www.designesia.com/themes/exhibiz/js/jquery.flexslider-min.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/jquery.flexslider-min.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:18	1004/1004	---M--	200	added ('OK')	application/javascript	etag:%223ec-5b603dbb50b73%22	https://www.designesia.com/themes/exhibiz/js/jquery.scrollto.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/jquery.scrollto.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:19	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%22ad36-5b5f7f4d507cb%22	https://www.designesia.com/themes/exhibiz/js/owl.carousel.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/owl.carousel.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:20	2501/2501	---M--	200	added ('OK')	application/javascript	etag:%229c5-5b5f7f448f4c4%22	https://www.designesia.com/themes/exhibiz/js/jquery.countTo.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/jquery.countTo.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
17:50:21	1872/1872	---M--	200	added ('OK')	application/javascript	etag:%22750-5d70492104d96%22	https://www.designesia.com/themes/exhibiz/js/classie.js	/home/dhyan/websites/IEEE-particles/www.designesia.com/themes/exhibiz/js/classie.js	(from https://www.designesia.com/themes/exhibiz/index-event-particle.html)
